Date,Level,ProgPt
8/12/2021,1,2
8/13/2021,1,4.5
8/16/2021,1,5.5
8/17/2021,1,6.5
8/18/2021,1,8
8/19/2021,1,9
8/20/2021,1,9
8/23/2021,1,9
8/24/2021,1,17.5
8/25/2021,1,23
8/26/2021,1,17.5
8/27/2021,1,17.5
8/30/2021,1,29
8/31/2021,1,32
9/1/2021,1,36.5
9/2/2021,1,42.5
9/3/2021,1,42.5
9/7/2021,1,44.5
9/8/2021,1,50.5
9/9/2021,1,51.5
9/10/2021,1,51.5
9/13/2021,1,62
9/14/2021,1,66.5
9/15/2021,1,73.5
9/16/2021,1,89.5
9/17/2021,1,89.5
9/17/2021,1,89.5
9/20/2021,2,2
9/21/2021,2,8.5
9/22/2021,2,20.5
9/23/2021,2,26
9/24/2021,2,31
9/27/2021,2,33
